SKU,Size,Order Code,Model #,Description,Trend Description,Quantity,Cnt Qty,Price, CAD Net Price ,Multiplier, USD List Price , USD Net Price ,Weight (lbs),Notes
6543415,,,VC21-0T-ZZZZ,2122 CHAMBER TOP,2122 CHMBR TOP 1.5M HATCH,,,1369.1,,,,,6700,
6543415,,,,2122 CONCRETE VAULT TOP,2122 CHMBR TOP 1.5M HATCH,,,1200,,,,,2800,
6543416,,,16738,2122 SERVICE VAULT,2122 CHMBR BTM FULL /W SUMP,,,2826.4,,,,,12900,
6543416,,,,2122 CONCRETE VAULT BOTTOM,2122 CHMBR BTM FULL /W SUMP,,,1508,,,,,3510,
6543416,,,VC21-20-ZZZZ,2122 CHAMBER BOTTOM,2122 CHMBR BTM FULL /W SUMP,,,1422.1,,,,,7810,
6543420,,,16773,832 SERVICE BOX HATCH COLLAR,832 COLLAR W/GALV LL,,,4193.9,,,,,1940,
6543420,,,SVZZ-59-L832,832 COLLAR W/ GALV LID,832 COLLAR W/GALV LL,,,2680.7,,,,,1720,
6543429,,,SVZZ-5C-L832-RR,832 COLLAR W/ GALV LID & PDLCK RECESS W/ RR,832 COLLAR WGALV PADLCK RR HOLES,,,3386.5,,,,,1720,
6543430,,,VC21-5C-2121,2121 COLLAR W/ GALV FRAME & 2 GALV LW STL LID W/ PDLK RECESS,2121 CHMBR W/GALV PADLCK REC RH,,,2407.9,,,,,2400,
6543430,,,16714,2121 SERVICE VAULT HATCH LID W/ GALV INNER FRAME & GALV STL LIDS W/ PDLCK RECESS,2121 CHMBR W/GALV PADLOCK REC RH,,,2359.4,,,,,3000,
6543431,,,,2121 CONCRETE VAULT BOTTOM,2121 CHMBR,,,1508,,,,,3510,
6543431,,,,2121 CONCRETE VAULT BOTTOM,2121 CHMBR,,,1508,,,,,3510,
6543431,,,VC21-20-ZZZZ,2121 CHAMBER BOTTOM,2121 CHMBR,,,1422.1,,,,,7800,
6543431,,,16720,2121 SERVICE VAULT,2121 CHMBR,,,1419.5,,,,,6700,
6543792,,,C23,C23 MANHOLE FRM & CVR W/RR HOLE,C23 C/I MH F/C C/W RR-H,,,791.46,,,,,,
6543793,,,C23,C23 MANHOLE FRM & CVR,C23 C/I IMH FRM/CVR,,,731.45,,,,,,
6570135,"6""",,,"6"" DI PIPE",150MM CL350/50 DI TYT PIPE 5.5,,,59.82,,,,,,pricing from June 2019
6570833,"4""",,,"4"" DI PIPE",100MM CL350 DI TYT PIPE 5.5M,,,63.12,,,,,,pricing from June 2019
6570835,"8""",,,"8"" DI PIPE",200MM CL350 DI TYT PIPE 5.5M,,,81.44,,,,,,pricing from June 2019
6570836,"10""",,,"10"" DI PIPE",250MM CL350 DI TYT PIPE 5.5M,,,99.52,,,,,,pricing from June 2019
6570837,"12""",,,"12"" DI PIPE",300MM CL350 DI TYT PIPE 5.5M,,,135.06,,,,,,pricing from June 2019
6570855,"16""",,,"16"" DI PIPE",400MM CL350 DI TYT PIPE 5.5M,,,216.84,,,,,,pricing from June 2019
7452601,"4""",,DJ400,"4"" DJ400",DJ400 4 DISMAN JNT EC,,,,571.16,0.61,668.81,407.97,,
7452602,"6""",,DJ400,"6"" DJ400",DJ400 6 DISMAN JNT EC,,,,713.96,0.61,836.02,509.97,,
7452603,"8""",,DJ400,"8"" DJ400",DJ400 8 DISMAN JNT EC,,,,856.77,0.61,1003.24,611.98,,
7600005,"2""",,,"2"" S10 RF WN FLG 316 #150",2 150 RF WN FLG S10 F316L,,,,,,,,,
7600006,"3""",,,"3"" S10 RF WN FLG 316 #150",3 150 RF WN FLG S10 F316L,,,,,,,,,
7600007,"4""",,,"4"" S10 RF WN FLG 316 #150",4 150 RF WN FLG S10 F316L,,,,,,,,,
7600008,"6""",,,"6"" S10 RF WN FLG 316 #150",6 150 RF WN FLG S10 F316L,,,,,,,,,
7600015,"8""",,,"8"" S10 RF WN FLG 316 #150",8 150 RF WN FLG S10 F316L,,,1020,,,,,,
7600019,"10""",,,"10"" S10 RF WN FLG 316 #150",12 150 RF WN FLG S10 F316L,,,,,,,,,
7620113,"1-1/2""",,,"1-1/2"" SCRD 90 316 #150",1-1/2 150 SCRD 90 ELL A351T316,,,7.17,,,,,,
7620114,"2""",,,"2"" SCRD 90 316 #150",2 150 SCRD 90 ELL A351T316,,,12.12,,,,,,
7620116,"2""",,,"2"" SCRD TEE 316 #150",2 150 SCRD TEE A351T316,,,16.21,,,,,,
7620127,"1/4"" x CL",,,"1/4"" x CL S40 NIP 304",1/4xCL S40 NIP A312TP304,,,,,,,,,
7620282,"4"" x 3""",,,"4"" x 3"" S10 CONC RED 304 SMLS",4x3 S10 BW CONC RDCR 304L SMLS,,,,,,,,,
7620317,"1/2"" x 2-1/2""",,,"1/2"" x 2-1/2"" S40 NIP 304",1/2x2-1/2 S40 NIP A312TP304,,,,,,,,,
7620333,"6"" x 4""",,,"6"" x 4"" S40 CONC RED 316",6x4 S40 BW CONC RDCR WP316L,,,50.02,,,,,,
7620333,"6"" x 4""",,,"6"" x 4"" S40 CONC RED 316 SMLS",6x4 S40 BW CONC RDCR 316L SMLS,,,,,,,,,
7620341,"3/4"" x 2-1/2""",,,"3/4"" x 2-1/2"" S40 NIP 304",3/4x2-1/2 S40 NIP A312TP304,,,,,,,,,
7620368,"1"" x CL",,,"1"" x CL S40 NIP 304",1xCL S40 NIP A312TP304,,,,,,,,,
7620373,"1"" x 2""",,,"1"" x 2"" S40 NIP 304",1x2 S40 NIP A312TP304,,,,,,,,,
7620379,"1"" x 3""",,,"1"" x 3"" S40 NIP 304",1x3 S40 NIP A312TP304,,,,,,,,,
7620408,"1-1/4"" x 4""",,,"1-1/4"" x 4"" S40 NIP 304",1-1/4x4 S40 NIP A312TP304,,,,,,,,,
7620432,"1-1/2"" x CL",,,"1-1/2"" x CL S40 NIP304",1-1/2xCL S40 NIP A312TP304,,,,,,,,,
7620505,"3""",,,"3"" FF SO FLG 316 #150",3 150 FF SO FLG F316L,,,48,,,,,,
7620508,"4""",,,"4"" FF SO FLG 316 #150",4 150 FF SO FLG F316L,,,59,,,,,,
7620509,"6""",,,"6"" FF SO FLG 316 #150",6 150 FF SO FLG F316L,,,85,,,,,,
7620528,"1/4"" x CL",,,"1/4"" x CL S40 NIP 316",1/4xCL S40 NIP A312TP316,,,,,,,,,
7620530,"1/4"" x 1-1/2""",,,"1/4"" x 1-1/2"" S40 NIP 316",1/4x1-1/2 S40 NIP A312TP316,,,0.95,,,,,,
7620534,"1/4"" x 2""",,,"1/4"" x 2"" S40 NIP 316",1/4x2 S40 NIP A312TP316,,,,,,,,,
7620537,"1/4"" x 2-1/2""",,,"1/4"" x 2-1/2"" S40 NIP 316",1/4x2-1/2 S40 NIP A312TP316,,,,,,,,,
7620543,"1/4"" x 3""",,,"1/4"" x 3"" S40 NIP 316",1/4x3 S40 NIP A312TP316,,,,,,,,,
7620607,"3/8"" x 1-1/2""",,,"3/8"" x 1-1/2"" S40 NIP 316",3/8x1-1/2 S40 NIP A312TP316,,,1.13,,,,,,
7620658,"1/2"" x 1-1/2""",,,"1/2"" x 1-1/2"" S40 NIP 316",1/2x1-1/2 S40 NIP A312TP316,,,1.41,,,,,,
7620664,"1/2"" x 2""",,,"1/2"" x 2"" S40 NIP 316",1/2x2 S40 NIP A312TP316,,,,,,,,,
7620668,"1/2"" x 2-1/2""",,,"1/2"" x 2-1/2"" S40 NIP 316",1/2x2-1/2 S40 NIP A312TP316,,,,,,,,,
7620671,"1/2"" x 3""",,,"1/2"" x 3"" S40 NIP 316",1/2x3 S40 NIP A312TP316,,,,,,,,,
7620683,"1/2"" x 4""",,,"1/2"" x 4"" S40 NIP 316",1/2x4 S40 NIP A312TP316,,,,,,,,,
7620699,"1/2"" x 6""",,,"1/2"" x 6"" S40 NIP 316",1/2x6 S40 NIP A312TP316,,,,,,,,,
7620710,"3/4"" x 2""",,,"3/4"" x 2"" S40 NIP 316",3/4x2 S40 NIP A312TP316,,,,,,,,,
7620729,"3/4"" x 4""",,,"3/4"" x 4"" S40 NIP 316",3/4x4 S40 NIP A312TP316,,,,,,,,,
7620731,"12"" x 10""",,,"12"" x 10"" S40 CONC RED 304",12x10 S40S BW CONC RDCR WP304L,,,290,,,,,,
7620747,"3/4"" x 6""",,,"3/4"" x 6"" S40 NIP 316",3/4x6 S40 NIP A312TP316,,,,,,,,,
7620749,"4"" x 1-1/2""",,,"4"" x 1-1/2"" S10 CONC RED 304",4x1-1/2 S10 BW CONC RDCR WP304L,,,,,,,,,
7620754,"6"" x 2""",,,"6"" x 2"" S10 CONC RED 304",6x2 S10 BW CONC RDCR WP304L,,,,,,,,,
7620769,"1"" x 2""",,,"1"" x 2"" S40 NIP 316",1x2 S40 NIP A312TP316,,,2.54,,,,,,
7620783,"1"" x 2-1/2""",,,"1"" x 2-1/2"" S40 NIP 316",1x2-1/2 S40 NIP A312TP316,,,,,,,,,
7620785,"1"" x 3""",,,"1"" x 3"" S40 NIP 316",1x3 S40 NIP A312TP316,,,,,,,,,
7620793,"1"" x 4""",,,"1"" x 4"" S40 NIP 316",1x4 S40 NIP A312TP316,,,,,,,,,
7620804,"3"" x 1-1/2""",,,"3"" x 1-1/2"" S10 CONC RED 316 SMLS",3x1-1/2 S10 CONC RDCR 316L SMLS,,,,,,,,,
7620805,"4"" x 2""",,,"4"" x 2"" S10 CONC RED 316 SMLS",4x2 S10 CONC RDCR WP316L SMLS,,,,,,,,,
7620808,"2"" x 1""",,,"2"" x 1"" S40 CONC RED 304 SMLS",2x1 S40 CONC RDCR WP304L SMLS,,,,,,,,,
7620814,"1"" x 6""",,,"1"" x 6"" S40 NIP 316",1x6 S40 NIP A312TP316,,,,,,,,,
7620836,"1-1/4"" x CL",,,"1-1/4"" x CL S40 NIP 316",1-1/4xCL S40 NIP A312TP316,,,,,,,,,
7620838,"10""",,,"10"" S40 LR 90 304",10 S40 LR 90 BW ELL WP304L,,,320,,,,,,
7620839,"12""",,,"12"" S40 LR 90 304",12 S40 LR 90 BW ELL WP304L,,,765,,,,,,
7620843,"1-1/4"" x 2-1/2""",,,"1-1/4"" x 2-1/2"" S40 NIP 316",1-1/4x2-1/2 S40 NIP A312TP316,,,,,,,,,
7620854,"10""",,,"10"" S40 TEE 304",10 S40 BW TEE WP304L,,,325.45,,,,,,
7620855,"12""",,,"12"" S40 TEE 304",12 S40 BW TEE WP304L,,,625,,,,,,
7620874,"1-1/4"" x 6""",,,"1-1/4"" x 6"" S40 NIP 316",1-1/4x6 S40 NIP A312TP316,,,,,,,,,
7620899,"8"" x 4""",,,"8"" x 4"" S40 CONC RED 304",8x4 S40 BW CONC RDCR WP304L,,,,,,,,,
7620901,"10"" x 6""",,,"10"" x 6"" S40 CONC RED 304",10x6 S40 BW CONC RDCR WP304L,,,,,,,,,
7620904,"2-1/2"" x 1""",,,"2-1/2"" x 1"" S40 CONC RED 316",2-1/2x1 S40 BW CONC RDCR WP316L,,,,,,,,,
7620914,"12"" x 10""",,,"12"" x 10"" S40 CONC RED 316",12x10 S40S BW CONC RDCR WP316L,,,340,,,,,,
7620991,"1-1/2"" x 8""",,,"1-1/2"" x 8"" S40 NIP 316",1-1/2x8 S40 NIP A312TP316,,,,,,,,,
7620993,"1-1/2"" x CL",,,"1-1/2"" x CL S40 NIP 316",1-1/2xCL S40 NIP A312TP316,,,,,,,,,
7620997,"1-1/2"" x 2-1/2""",,,"1-1/2"" x 2-1/2"" S40 NIP 316",1-1/2x2-1/2 S40 NIP A312TP316,,,4.58,,,,,,
7621003,"6""",,,"6"" S10 SR 90 304",6 S10 SR 90 BW ELL WP304L,,,,,,,,,
7621013,"1-1/2"" x 4""",,,"1-1/2"" x 4"" S40 NIP 316",1-1/2x4 S40 NIP A312TP316,,,,,,,,,
7621031,"1-1/2"" x 6""",,,"1-1/2"" x 6"" S40 NIP 316",1-1/2x6 S40 NIP A312TP316,,,,,,,,,
7621047,"2"" x 8""",,,"2"" x 8"" S40 NIP 316",2x8 S40 NIP A312TP316,,,,,,,,,
7621048,"2"" x 12""",,,"2"" x 12"" S40 NIP 316",2x12 S40 NIP A312TP316,,,,,,,,,
7621049,"2"" x 2-1/2""",,,"2"" x 2-1/2"" S40 NIP 316",2x2-1/2 S40 NIP A312TP316,,,5.89,,,,,,
7621053,"2"" x 3""",,,"2"" x 3"" S40 NIP 316",2x3 S40 NIP A312TP316,,,,,,,,,
7621064,"2"" x 4""",,,"2"" x 4"" S40 NIP 316",2x4 S40 NIP A312TP316,,,,,,,,,
7621082,"2"" x 6""",,,"2"" x 6"" S40 NIP 316",2x6 S40 NIP A312TP316,,,,,,,,,
7621102,"1/2""",,,"1/2"" 3000 TOL 304",1/2 3000 TOL 304SS,,,7,,,,,,
7621103,"3/4""",,,"3/4"" 3000 TOL 304",3/4 3000 TOL 304SS,,,8,,,,,,
7621104,"1""",,,"1"" 3000 TOL 304",1 3000 TOL 304SS,,,9,,,,,,
7621105,"2""",,,"2"" 3000 TOL 304",2 3000 TOL 304SS,,,17,,,,,,
7621108,"1-1/4"" x 2""",,,"1-1/4"" x 2"" S40 NIP 316",1-1/4x2 S40 NIP A312TP316,,,3.38,,,,,,
7621109,"1-1/2"" x 2""",,,"1-1/2"" x 2"" S40 NIP 316",1-1/2x2 S40 NIP A312TP316,,,,,,,,,
7621110,"3/4"" x 1-1/2""",,,"3/4"" x 1-1/2"" S40 NIP 316",3/4x1-1/2 S40 NIP A312TP316,,,1.7,,,,,,
7621896,"3"" x 8""",,,"3"" x 8"" S40 NIP 316",3x8 S40 NIP A312TP316,,,,   ,,,,,
7621900,"2-1/2"" x CL",,,"2-1/2"" x CL S40 NIP 316",2-1/2xCL S40 NIP A312TP316,,,,,,,,,
7621908,"3"" x CL",,,"3"" x CL S40 NIP 316",3xCL S40 NIP A312TP316,,,,,,,,,
7621911,"3"" x 4""",,,"3"" x 4"" S40 NIP 316",3x4 S40 NIP A312TP316,,,20.1,,,,,,
7621915,"3"" x 6""",,,"3"" x 6"" S40 NIP 316",3x6 S40 NIP A312TP316,,,,,,,,,
7621917,"4"" x 4""",,,"4"" x 4"" S40 NIP 316",4x4 S40 NIP A312TP316,,,,,,,,,
7621921,"4"" x 6""",,,"4"" x 6"" S40 NIP 316",4x6 S40 NIP A312TP316,,,,,,,,,
7621923,"4"" x 8""",,,"4"" x 8"" S40 NIP 316",4x8 S40 NIP A312TP316,,,,,,,,,
7621941,"3"" x 3""",,,"3"" x 3"" S40 NIP 304",3x3 S40 NIP A312TP304,,,,,,,,,
7622006,"2""",,,"2"" SCRD 90 304 #150",2 150 SCRD 90 ELL A351T304,,,,,,,,,
7622008,"1/4""",,,"1/4"" SCRD 90 316 #150",1/4 150 SCRD 90 ELL A351T316,,,1.35,,,,,,
7622009,"3/8""",,,"3/8"" SCRD 90 316 #150",3/8 150 SCRD 90 ELL A351T316,,,1.49,,,,,,
7622010,"1/2""",,,"1/2"" SCRD 90 316 #150",1/2 150 SCRD 90 ELL A351T316,,,1.99,,,,,,
7622011,"3/4""",,,"3/4"" SCRD 90 316 #150",3/4 150 SCRD 90 ELL A351T316,,,2.74,,,,,,
7622012,"1""",,,"1"" SCRD 90 316 #150",1 150 SCRD 90 ELL A3517316,,,4.15,,,,,,
7622013,"1-1/4""",,,"1-1/4"" SCRD 90 316 #150",1-1/4 150 SCRD 90 ELL A351T316,,,5.78,,,,,,
7622072,"3/8""",,,"3/8"" SCRD TEE 316 #150",3/8 150 SCRD TEE A351T316,,,2.1,,,,,,
7622073,"1/2""",,,"1/2"" SCRD TEE 316 #150",1/2 150 SCRD TEE A351T316,,,2.62,,,,,,
7622074,"3/4""",,,"3/4"" SCRD TEE 316 #150",3/4 150 SCRD TEE A351T316,,,3.57,,,,,,
7622075,"1""",,,"1"" SCRD TEE 316 #150",1 150 SCRD TEE A351T316,,,5.55,,,,,,
7622076,"1-1/4""",,,"1-1/4"" SCRD TEE 316 #150",1-1/4 150 SCRD TEE A351T316,,,7.36,,,,,,
7622077,"1-1/2""",,,"1-1/2"" SCRD TEE 316 #150",1-1/2 150 SCRD TEE A351T316,,,9.23,,,,,,
7622518,"2""",,,"2"" S10 LR 90 304",2 S10 LR 90 BW ELL WP304L,,,5.56,,,,,,
7622519,"2-1/2""",,,"2-1/2"" S10 LR 90 304",2-1/2 S10 LR 90 BW ELL WP304L,,,,,,,,,
7622520,"3""",,,"3"" S10 LR 90 304",3 S10 LR 90 BW ELL WP304L,,,11.46,,,,,,
7622521,"4""",,,"4"" S10 LR 90 304",4 S10 LR 90 BW ELL WP304L,,,20.06,,,,,,
7622522,"6""",,,"6"" S10 LR 90 304",6 S10 LR 90 BW ELL WP304L,,,41.2,,,,,,
7622523,"8""",,,"8"" S10 LR 90 304",8 S10 LR 90 BW ELL WP304L,,,85.61,,,,,,
7622524,"10""",,,"10"" S10 LR 90 304",10 S10 LR 90 BW ELL WP304L,,,170.53,,,,,,
7622525,"12""",,,"12"" S10 LR 90 304",12 S10 LR 90 BW ELL WP304L,,,275,,,,,,
7622547,"2""",,,"2"" S10 LR 90 316",2 S10 LR 90 BW ELL WP316L,,,6.8,,,,,,
7622551,"4""",,,"4"" S10 LR 90 316",4 S10 LR 90 BW ELL WP316L,,,24.25,,,,,,
7622552,"6""",,,"6"" S10 LR 90 316",6 S10 LR 90 BW ELL WP316L,,,54.4,,,,,,
7622553,"8""",,,"8"" S10 LR 90 316",8 S10 LR 90 BW ELL WP316L,,,121.93,,,,,,
7622554,"10""",,,"10"" S10 LR 90 316",10 S10 LR 90 BW ELL WP316L,,,210,,,,,,
7622584,"2""",,,"2"" S10 LR 45 304",2 S10 LR 45 BW ELL WP304L,,,4.37,,,,,,
7622587,"4""",,,"4"" S10 LR 45 304",4 S10 LR 45 BW ELL WP304L,,,12.2,,,,,,
7622588,"6""",,,"6"" S10 LR 45 304",6 S10 LR 45 BW ELL WP304L,,,25.12,,,,,,
7622628,"6""",,,"6"" S10 LR 45 316",6 S10 LR 45 BW ELL WP316L,,,29,,,,,,
7622705,"3""",,,"3"" S10 TEE 304",3 S10 BW TEE WP304L,,,18.2,,,,,,
7622706,"4""",,,"4"" S10 TEE 304",4 S10 BW TEE WP304L,,,29.06,,,,,,
7622707,"6""",,,"6"" S10 TEE 304",6 S10 BW TEE WP304L,,,60.07,,,,,,
7622708,"8""",,,"8"" S10 TEE 304",8 S10 BW TEE WP304L,,,111.51,,,,,,
7622710,"12""",,,"12"" S10 TEE 304",12 S10 BW TEE WP304L,,,261.23,,,,,,
7622733,"2""",,,"2"" S10 TEE 316",2 S10 BW TEE WP316L,,,12.99,,,,,,
7622736,"4""",,,"4"" S10 TEE 316",4 S10 BW TEE WP316L,,,33.08,,,,,,
7622739,"8""",,,"8"" S10 TEE 316",8 S10 BW TEE WP316L,,,134,,,,,,
7622796,"3"" x 2""",,,"3"" x 2"" S10 TEE 304",3x2 S10 BW TEE WP304L,,,,,,,,,
7622996,"2"" x 1-1/4""",,,"2"" x 1-1/4"" S10 CONC RED 304",2x1-1/4 S10 BW CONC RDCR WP304L,,,,,,,,,
7622998,"2-1/2"" x 2""",,,"2-1/2"" x 2"" S10 CONC RED 304",2-1/2x2 S10 BW CONC RDCR WP304L,,,,,,,,,
7623002,"3"" x 2""",,,"3"" x 2"" S10 CONC RED 304",3x2 S10 BW CONC RDCR WP304L,,,,,,,,,
7623003,"3"" x 1-1/2""",,,"3"" x 1-1/2"" S10 CONC RED 304",3x1-1/2 S10 BW CONC RDCR WP304L,,,,,,,,,
7623005,"4"" x 2-1/2""",,,"4"" x 2-1/2"" S10 CONC RED 304",4x2-1/2 S10 BW CONC RDCR WP304L,,,,,,,,,
7623006,"4"" x 2""",,,"4"" x 2"" S10 CONC RED 304",4x2 S10 BW CONC RDCR WP304L,,,,,,,,,
7623007,"6"" x 4""",,,"6"" x 4"" S10 CONC RED 304",6x4 S10 BW CONC RDCR WP304L,,,22.39,,,,,,
7623008,"6"" x 3""",,,"6"" x 3"" S10 CONC RED 304",6x3 S10 BW CONC RDCR WP304L,,,,,,,,,
7623009,"8"" x 6"" ",,,"8"" x 6"" S10 CONC RED 304",8x6 S10 BW CONC RDCR WP304L,,,33.06,,,,,,
7623010,"8"" x 4""",,,"8"" x 4"" S10 CONC RED 304",8x4 S10 BW CONC RDCR WP304L,,,,,,,,,
7623012,"10"" x 6""",,,"10"" x 6"" S10 CONC RED 304",10x6 S10 BW CONC RDCR WP304L,,,,,,,,,
7623015,"12"" x 6""",,,"12"" x 6"" S10 CONC RED 304",12x6 S10 BW CONC RDCR WP304L,,,,,,,,,
7623046,"4"" x 3""",,,"4"" x 3"" S10 CONC RED 316",4x3 S10 BW CONC RDCR WP316L,,,,,,,,,
7623052,"8"" x 6"" ",,,"8"" x 6"" S10 CONC RED 316",8x6 S10 BW CONC RDCR WP316L,,,39.06,,,,,,
7623055,"10"" x 6""",,,"10"" x 6"" S10 CONC RED 316",10x6 S10 BW CONC RDCR WP316L,,,,,,,,,
7623083,"6"" x 4""",,,"6"" x 4"" S10 ECC RED 304",6x4 S10 ECC RDCR 304L,,,,,,,,,
7623097,"8"" x 6""",,,"8"" x 6"" S10 ECC RED 316",8x6 S10 BW ECC RDCR WP316L,,,,,,,,,
7623523,"8"" x 3""",,,"8"" x 3"" S10 CONC RED 316",8x3 S10 BW CONC RDCR WP316L,,,,,,,,,
7624063,"1""",,,"1"" S40 LR 90 304",1 S40 LR 90 BW ELL WP304L,,,,,,,,,
7624066,"2""",,,"2"" S40 LR 90 304",2 S40 LR 90 BW ELL WP304L,,,7.13,,,,,,
7624068,"3""",,,"3"" S40 LR 90 304",3 S40 LR 90 BW ELL WP304L,,,18.25,,,,,,
7624069,"4""",,,"4"" S40 LR 90 304",4 S40 LR 90 BW ELL WP304L,,,48.74,,,,,,
7624070,"6""",,,"6"" S40 LR 90 304",6 S40 LR 90 BW ELL WP304L,,,87,,,,,,
7624071,"8""",,,"8"" S40 LR 90 304",8 S40 LR 90 BW ELL WP304L,,,170,,,,,,
7624089,"2""",,,"2"" S40 LR 90 316",2 S40 LR 90 BW ELL WP316L,,,8.95,,,,,,
7624091,"3""",,,"3"" S40 LR 90 316",3 S40 LR 90 BW ELL WP316L,,,23.32,,,,,,
7624092,"4""",,,"4"" S40 LR 90 316",4 S40 LR 90 BW ELL WP316L,,,45.33,,,,,,
7624093,"6""",,,"6"" S40 LR 90 316",6 S40 LR 90 BW ELL WP316L,,,116,,,,,,
7625018,"3""",,,"3"" S40 LR 45 304",3 S40 LR 45 BW ELL WP304L,,,12.14,,,,,,
7625019,"4""",,,"4"" S40 LR 45 304",4 S40 LR 45 BW ELL WP304L,,,20.39,,,,,,
7625020,"6""",,,"6"" S40 LR 45 304",6 S40 LR 45 BW ELL WP304L,,,44.45,,,,,,
7625021,"8""",,,"8"" S40 LR 45 304",8 S40 LR 45 BW ELL WP304L,,,179,,,,,,
7625030,"4""",,,"4"" S40 LR 45 316",4 S40 LR 45 BW ELL WP316L,,,22.51,,,,,,
7625037,"4""",,,"4"" S40 SR 90 304",4 S40 SR 90 BW ELL WP304L,,,,,,,,,
7625038,"6"" ",,,"6"" S40 SR 90 304",6 S40 SR 90 BW ELL WP304L,,,,,,,,,
7625076,"2""",,,"2"" S40 TEE 304",2 S40 BW TEE WP304L,,,11.67,,,,,,
7625078,"3""",,,"3"" S40 TEE 304",3 S40 BW TEE WP304L,,,29.63,,,,,,
7625079,"4""",,,"4"" S40 TEE 304",4 S40 BW TEE WP304L,,,49.76,,,,,,
7625080,"6""",,,"6"" S40 TEE 304",6 S40 BW TEE WP304L,,,114.8,,,,,,
7625081,"8""",,,"8"" S40 TEE 304",8 S40 BW TEE WP304L,,,202.18,,,,,,
7625099,"2""",,,"2"" S40 TEE 316",2 S40 BW TEE WP316L,,,15.28,,,,,,
7625101,"3""",,,"3"" S40 TEE 316",3 S40 BW TEE WP316L,,,35,,,,,,
7625102,"4""",,,"4"" S40 TEE 316",4 S40 BW TEE WP316L,,,56.28,,,,,,
7625103,"6""",,,"6"" S40 TEE 316",6 S40 BW TEE WP316L,,,132.32,,,,,,
7625111,"6"" x 4""",,,"6"" x 4"" S40 TEE 304",6x4 S40 BW TEE WP304L,,,,,,,,,
7625186,"2"" x 1-1/2""",,,"2"" x 1-1/2"" S40 CONC RED 304",2x1-1/2 S40 BW CONC RDCR WP304L,,,,,,,,,
7625187,"2"" x 1-1/4""",,,"2"" x 1-1/4"" S40 CONC RED 304",2x1-1/4 S40 BW CONC RDCR WP304L,,,,,,,,,
7625191,"2-1/2"" x 1-1/2""",,,"2-1/2"" x 1-1/2"" S40 CONC RED 304",2-1/2x1-1/2 S40 BW CONC WP304L,,,,,,,,,
7625193,"3"" x 2""",,,"3"" x 2"" S40 CONC RED 304",3x2 S40 BW CONC RDCR WP304L,,,,,,,,,
7625195,"4"" x 3""",,,"4"" x 3"" S40 CONC RED 304",4x3 S40 BW CONC RDCR WP304L,,,,,,,,,
7625197,"4"" x 2""",,,"4"" x 2"" S40 CONC RED 304",4x2 S40 BW CONC RDCR WP304L,,,20.67,,,,,,
7625198,"6"" x 4""",,,"6"" x 4"" S40 CONC RED 304",6x4 S40 BW CONC RDCR WP304L,,,38.83,,,,,,
7625199,"6"" x 3""",,,"6"" x 3"" S40 CONC RED 304",6x3 S40 BW CONC RDCR WP304L,,,,,,,,,
7625200,"8"" x 6""",,,"8"" x 6"" S40 CONC RED 304",8x6 S40 BW CONC RDCR WP304L,,,68.45,,,,,,
7625229,"2"" x 1""",,,"2"" x 1"" S40 CONC RED 316",2x1 S40 BW CONC RDCR WP316L,,,,,,,,,
7625231,"2-1/2"" x 2""",,,"2-1/2"" x 2"" S40 CONC RED 316",2-1/2x2 S40 BW CONC RDCR WP316L,,,,,,,,,
7625233,"3"" x 2""",,,"3"" x 2"" S40 CONC RED 316",3x2 S40 BW CONC RDCR WP316L,,,,,,,,,
7625237,"4"" x 2""",,,"4"" x 2"" S40 CONC RED 316",4x2 S40 BW CONC RDCR WP316L,,,25.86,,,,,,
7625241,"8"" x 6""",,,"8"" x 6"" S40 CONC RED 316",8x6 S40 BW CONC RDCR WP316L,,,135,,,,,,
7625242,"8"" x 4""",,,"8"" x 4"" S40 CONC RED 316",8x4 S40 BW CONC RDCR WP316L,,,,,,,,,
7625476,"2""",,,"2"" S40 RF WN FLG 304 #150",2 150 RF WN FLG 40S 304L,,,,,,,,,
7625477,"2-1/2""",,,"2-1/2"" S40 RF WN FLG 304 #150",2-1/2 150 RF WN FLG S40 F304L,,,,,,,,,
7625478,"3""",,,"3"" S40 RF WN FLG 304 #150",3 150 RF WN FLG 40S 304L,,,,,,,,,
7625479,"4""",,,"4"" S40 RF WN FLG 304 #150",4 150 RF WN FLG S40 F304L,,,,,,,,,
7625480,"6""",,,"6"" S40 RF WN FLG 304 #150",6 150 RF WN FLG 40S 304L,,,,,,,,,
7625481,"8"" ",,,"8"" S40 RF WN FLG 304 #150",8 150 RF WN FLG 40S 304L,,,,,,,,,
7625482,"10""",,,"10"" S40 RF WN FLG 304 #150",10 150 RF WN FLG S40 F304L,,,,,,,,,
7625483,"12""",,,"12"" S40 RF WN FLG 304 #150",12 150 RF WN FLG S40S F304L,,,,,,,,,
7625503,"3""",,,"3"" S40 RF WN FLG 316 #150",3 150 RF WN FLG S40 F316L,,,,,,,,,
7625504,"4""",,,"4"" S40 RF WN FLG 316 #150",4 150 RF WN FLG S40 F316L,,,,,,,,,
7625505,"6""",,,"6"" S40 RF WN FLG 316 #150",6 150 RF WN FLG S40 F316L,,,,,,,,,
7625506,"8""",,,"8"" S40 RF WN FLG 316 #150",8 150 RF WN FLG S40 F316L,,,,,,,,,
7625508,"12""",,,"12"" S40 RF WN FLG 316 #150",12 150 RF WN FLG S40S F316L,,,,,,,,,
